date,count
2008-09-01,1756
2008-10-01,4019
2008-11-01,12431
2008-12-01,15094
2009-01-01,18480
2009-04-01,326075
2009-05-01,482909
2009-06-01,718057
2009-07-01,903662
2009-08-01,990547
2009-09-01,1165513
2009-10-01,1398348
2009-11-01,1418343
2010-02-01,1631627
2010-04-01,1641931
2010-05-01,1651134
2010-06-01,1655541
2010-07-01,1658521
2010-08-01,1664243
2010-09-01,1680647
2010-10-01,1692916
2010-11-01,1704494
2010-12-01,1712686
2011-01-01,1721161
2011-02-01,1741403
2011-03-01,1771702
2011-04-01,1805827
2011-05-01,1840217
2011-07-01,1882786
2011-08-01,1903733
2011-09-01,1921872
2011-10-01,1949470
2011-11-01,1964171
2011-12-01,1981050
2012-01-01,2003425
2012-02-01,2022193
2012-03-01,2050619
2012-04-01,2079267
2012-05-01,2107185
2012-06-01,2127262
2012-07-01,2148771
2012-08-01,2170610
2012-09-01,2219217
2012-10-01,2254737
2012-11-01,2340319
2012-12-01,2411515
2013-01-01,2461512
2013-02-01,2483064
2013-03-01,2510528
2013-04-01,2564274
2013-05-01,2591812
2013-06-01,2605236
2013-07-01,2633016
2013-08-01,2660294
2013-09-01,2679468
2013-10-01,2716607
2013-11-01,2770036
2013-12-01,2790784
2014-01-01,2799693
2014-02-01,2817354
2014-03-01,2844375
2014-04-01,2866752
2014-05-01,2880897
2014-06-01,2898567
2014-07-01,2922999
2014-08-01,2950002
2014-09-01,2969723
2014-12-01,3057995
2015-01-01,3076298
2015-02-01,3110748
2015-03-01,3126980
2015-04-01,3155198
2015-05-01,3176363
2015-06-01,3199171
2015-07-01,3234454
2015-08-01,3271865
2015-09-01,3351605
2015-10-01,3406878
2015-11-01,3545776
2015-12-01,3622728
2016-01-01,3751374
2016-02-01,3887699
2016-03-01,4015884
2016-04-01,4146967
2016-05-01,4236907
2016-06-01,4386624
2016-07-01,4581113
2016-08-01,4809309
2016-09-01,4972187
2016-10-01,5225007
2016-11-01,5407027
2016-12-01,5585818
2017-01-01,5721676
2017-02-01,6075022
2017-03-01,6391214
2017-04-01,6905609
2017-05-01,7169691
2017-06-01,7493271
2017-07-01,7811303
2017-08-01,8018858
